alien_id,alien_name,alien_type,alien_color,witness_id,witness_name,witness_last_name,witness_address,witness_age,location_id,lat,lon,place,country,region,time_of_day
3,bobrobot,r2d2,yellow,58,Cynthia,Mitchell,"58576 Elizabeth Summit\nEast Karen, WV 52150",41,108,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,56,Erica,Jenkins,"583 White Valleys\nBrookeview, NM 87428",48,83,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
6,c/\0H,c2h5oh,white,21,Renee,Beck,"1864 Thompson Drive\nEricland, SC 79805",36,126,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,day
2,thqurma,g18rv44K,yellow,30,Jessica,Smith,"0460 Bauer Drive\nMcintoshbury, NJ 81783",28,131,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
4,byrav4ik,c2h5oh,blue,10,Kimberly,Palmer,"01912 Wright Glen Suite 088\nNorth Paul, WI 74513",34,136,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
3,bobrobot,r2d2,yellow,67,Melissa,Schwartz,"649 Stephanie Union Suite 716\nSouth Jerry, ME 31760",17,69,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,9,Lisa,Hansen,"373 Monica View\nSouth Angela, NE 26870",30,159,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
2,thqurma,g18rv44K,yellow,67,Melissa,Schwartz,"649 Stephanie Union Suite 716\nSouth Jerry, ME 31760",17,85,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
3,bobrobot,r2d2,yellow,62,Timothy,Flores,"2201 Wright Plaza\nNorth Kelly, NY 98156",46,138,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,day
4,byrav4ik,c2h5oh,blue,8,Michelle,Scott,"81077 Williams Station Suite 771\nEast Margaretland, GA 80816",16,34,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,day
5,ydav4ik,c3h7oh,green,43,Lisa,Vega,"8139 Holden Courts\nChristinabury, AL 47970",42,91,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
2,thqurma,g18rv44K,yellow,69,Ryan,Terry,"PSC 2853, Box 3234\nAPO AP 24917",47,125,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
3,bobrobot,r2d2,yellow,46,Melissa,Decker,"69681 Jerry Court\nLake Dillonhaven, CT 73734",24,15,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,16,Janet,Malone,"208 Misty Mission\nEddieborough, SD 32848",13,115,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,day
5,ydav4ik,c3h7oh,green,2,Brittany,Taylor,"6377 Flores Ports\nWest Julietown, AK 62305",37,57,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
1,kraken,g18rv44K,green,2,Brittany,Taylor,"6377 Flores Ports\nWest Julietown, AK 62305",37,152,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,night
1,kraken,g18rv44K,green,5,Scott,Harris,"12502 Kenneth Club Suite 456\nNew Zachary, WV 96762",39,138,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
6,c/\0H,c2h5oh,white,42,Heather,Barr,Unit 8436 Box 5678\nDPO AE 54253,38,43,49.07866,30.96755,Zvenihorodka,UA,Europe/Kiev,day
2,thqurma,g18rv44K,yellow,25,James,Sanders,"097 Ashley Park Apt. 067\nTaylorton, LA 09593",24,21,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,day
2,thqurma,g18rv44K,yellow,46,Melissa,Decker,"69681 Jerry Court\nLake Dillonhaven, CT 73734",24,31,49.07866,30.96755,Zvenihorodka,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,27,David,Anderson,"080 Vazquez Ridge Apt. 259\nMillerville, SC 43484",28,37,49.41029,38.15035,Svatove,UA,Europe/Zaporozhye,night
5,ydav4ik,c3h7oh,green,17,Sue,Kemp,"1691 Ellis Curve Suite 456\nPort Barryton, DE 31453",44,94,52.4089,31.3237,Dobrush,BY,Europe/Minsk,day
4,byrav4ik,c2h5oh,blue,59,Jasmine,Clark,"1699 Jenkins Ferry\nPort Derekfurt, ME 70913",16,45,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,day
6,c/\0H,c2h5oh,white,60,Christian,Cordova,"5410 Allen Vista\nPort Williamland, NJ 36998",26,26,49.07866,30.96755,Zvenihorodka,UA,Europe/Kiev,day
2,thqurma,g18rv44K,yellow,15,Lori,Cooper,"762 Gregory Heights\nBurgessbury, IL 70144",55,91,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
1,kraken,g18rv44K,green,30,Jessica,Smith,"0460 Bauer Drive\nMcintoshbury, NJ 81783",28,44,50.18545,27.06365,Shepetivka,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,69,Ryan,Terry,"PSC 2853, Box 3234\nAPO AP 24917",47,89,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
3,bobrobot,r2d2,yellow,11,Jerome,Moran,"318 Mark Islands\nNew Derrick, MO 48602",49,46,45.99194,29.41824,Artsyz,UA,Europe/Kiev,night
1,kraken,g18rv44K,green,57,Sarah,George,"5830 Dennis Loaf\nJeffreychester, PA 56275",53,33,51.67822,33.9162,Hlukhiv,UA,Europe/Kiev,night
4,byrav4ik,c2h5oh,blue,31,Emily,Hart,"43615 Anthony Brook\nNew Penny, SC 98282",43,131,32.05971,34.8732,Ganei Tikva,IL,Asia/Jerusalem,day
1,kraken,g18rv44K,green,31,Emily,Hart,"43615 Anthony Brook\nNew Penny, SC 98282",43,86,52.4089,31.3237,Dobrush,BY,Europe/Minsk,night
2,thqurma,g18rv44K,yellow,42,Heather,Barr,Unit 8436 Box 5678\nDPO AE 54253,38,73,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,day
1,kraken,g18rv44K,green,40,Nicholas,Clark,"0696 Dawn Road\nWest Jessicaland, DC 04396",45,4,46.65581,32.6178,Kherson,UA,Europe/Kiev,day
4,byrav4ik,c2h5oh,blue,15,Lori,Cooper,"762 Gregory Heights\nBurgessbury, IL 70144",55,137,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
2,thqurma,g18rv44K,yellow,52,Peggy,Mathis,"66706 Theresa Camp\nJohnsonborough, KY 59996",53,139,31.39547,34.75699,Rahat,IL,Asia/Jerusalem,night
6,c/\0H,c2h5oh,white,52,Peggy,Mathis,"66706 Theresa Camp\nJohnsonborough, KY 59996",53,66,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,day
6,c/\0H,c2h5oh,white,8,Michelle,Scott,"81077 Williams Station Suite 771\nEast Margaretland, GA 80816",16,66,55.1904,30.2049,Vitebsk,BY,Europe/Minsk,night
5,ydav4ik,c3h7oh,green,8,Michelle,Scott,"81077 Williams Station Suite 771\nEast Margaretland, GA 80816",16,5,50.75932,25.34244,Lutsk,UA,Europe/Kiev,day
5,ydav4ik,c3h7oh,green,21,Renee,Beck,"1864 Thompson Drive\nEricland, SC 79805",36,133,31.92923,34.86563,Ramla,IL,Asia/Jerusalem,night
6,c/\0H,c2h5oh,white,66,Tiffany,Barajas,"4000 Adams Track\nLoganmouth, AZ 93360",27,45,46.75451,33.34864,Nova Kakhovka,UA,Europe/Kiev,night
2,thqurma,g18rv44K,yellow,45,Andrew,Taylor,"6196 William Locks Apt. 148\nNew Thomas, NE 21412",31,73,53.5942,25.8191,Novogrudok,BY,Europe/Minsk,night
